Id,Title,Author,Format,File
1,Bitcoin: A Peer-to-Peer Electronic Cash System,Satoshi Nakamoto,PDF,bitcoin.pdf
2,Bulan,Tere Liye,PDF,Bulan.pdf
3,Bumi,Tere Liye,PDF,Bumi.pdf
4,I Had That Same Dream Again,Yoru Sumino,PDF,I Had That Same Dream Again,pdf
5,I Want to Eat Your Pancreas,Yoru Sumino,PDF,I Want to Eat Your Pancreas.pdf
6,Matahari,Tere Liye,PDF,Matahari.pdf
7,Rangkuman,Alvah Rabbany,PDF,Rangkuman.pdf
8,The Tunnel to Summer, the Exit of Goodbyes,Mei Hachimoku,PDF,The Tunnel to Summer, the Exit of Goodbyes.pdf
9,Coba,Alvah Rabbany,PDF,Coba.pdf
10,kimi no nawa,Makoto Shinkai,PDF,kimi no nawa.pdf
11,tentang kamu,Tere Liye,PDF,tentang kamu.pdf
